borough,age,date,asthma_er_count,ppt
Bronx,Ages 0-4 years,2016-08-16,7,0.656407543155739
Bronx,Ages 0-4 years,2016-08-17,7,4.706759676803381
Bronx,Ages 0-4 years,2016-08-18,7,0.8527412514581738
Bronx,Ages 0-4 years,2016-08-19,8,0.28149042487791015
Bronx,Ages 0-4 years,2016-08-20,4,0.19326741177815854
Bronx,Ages 0-4 years,2016-08-21,5,0.9052345990466302
Bronx,Ages 0-4 years,2016-08-22,6,2.7890531702224406
Bronx,Ages 0-4 years,2016-08-23,8,0
Bronx,Ages 0-4 years,2016-08-24,6,0
Bronx,Ages 0-4 years,2016-08-25,3,0
Bronx,Ages 0-4 years,2016-08-26,6,0
Bronx,Ages 0-4 years,2016-08-27,1,0
Bronx,Ages 0-4 years,2016-08-28,3,0
Bronx,Ages 0-4 years,2016-08-29,4,0.002432774064824554
Bronx,Ages 0-4 years,2016-08-30,4,0
Bronx,Ages 0-4 years,2016-08-31,2,0
Bronx,Ages 0-4 years,2016-09-01,8,3.415515393773982
Bronx,Ages 0-4 years,2016-09-02,5,6.785515950136718
Bronx,Ages 0-4 years,2016-09-03,4,0
Bronx,Ages 0-4 years,2016-09-04,6,0
Bronx,Ages 0-4 years,2016-09-05,3,0
Bronx,Ages 0-4 years,2016-09-06,5,0
Bronx,Ages 0-4 years,2016-09-07,4,0.07021194023807457
Bronx,Ages 0-4 years,2016-09-08,3,0.016418390698464132
Bronx,Ages 0-4 years,2016-09-09,2,0
Bronx,Ages 0-4 years,2016-09-10,2,0.11191513907957101
Bronx,Ages 0-4 years,2016-09-11,5,0.23474914871507704
Bronx,Ages 0-4 years,2016-09-12,3,0
Bronx,Ages 0-4 years,2016-09-13,5,0
Bronx,Ages 0-4 years,2016-09-14,10,7.855461925431982e-4
Bronx,Ages 0-4 years,2016-09-15,7,0.031017344714860878
Bronx,Ages 0-4 years,2016-09-16,13,0
Bronx,Ages 0-4 years,2016-09-17,9,0
Bronx,Ages 0-4 years,2016-09-18,7,0.003888851909114902
Bronx,Ages 0-4 years,2016-09-19,9,2.3387183765832655
Bronx,Ages 0-4 years,2016-09-20,9,17.46071794271125
Bronx,Ages 0-4 years,2016-09-21,5,0
Bronx,Ages 0-4 years,2016-09-22,10,0
Bronx,Ages 0-4 years,2016-09-23,14,0
Bronx,Ages 0-4 years,2016-09-24,11,4.100853404226767
Bronx,Ages 0-4 years,2016-09-25,12,0
Bronx,Ages 0-4 years,2016-09-26,19,0
Bronx,Ages 0-4 years,2016-09-27,15,2.149616236127179
Bronx,Ages 0-4 years,2016-09-28,12,0
Bronx,Ages 0-4 years,2016-09-29,17,0.3030996219484969
Bronx,Ages 0-4 years,2016-09-30,13,3.0143397998393047
Bronx,Ages 0-4 years,2016-10-01,6,10.804745040350326
