borough,date,asthma_er_count,ppt,pm25
Brooklyn,2017-02-07,113,0.5189316092220152,NA
Brooklyn,2017-02-08,97,3.6172389728344703,NA
Brooklyn,2017-02-09,63,10.23661877689178,NA
Brooklyn,2017-02-10,86,23.660220508805082,NA
Brooklyn,2017-02-11,89,0,NA
Brooklyn,2017-02-12,87,2.5805816331629323,NA
Brooklyn,2017-02-13,102,9.150430337130132,NA
Brooklyn,2017-02-14,69,0,NA
Brooklyn,2017-02-15,94,0,NA
Brooklyn,2017-02-16,109,0,NA
Brooklyn,2017-02-17,98,0,NA
Brooklyn,2017-02-18,87,0,NA
Brooklyn,2017-02-19,68,0,NA
Brooklyn,2017-02-20,80,0,NA
Brooklyn,2017-02-21,91,0,NA
Brooklyn,2017-02-22,100,0,NA
Brooklyn,2017-02-23,83,0,NA
Brooklyn,2017-02-24,80,0,NA
Brooklyn,2017-02-25,81,0,NA
Brooklyn,2017-02-26,79,9.579677414930863,NA
Brooklyn,2017-02-27,105,0,NA
Brooklyn,2017-02-28,93,0,NA
Brooklyn,2017-03-01,91,0,NA
Brooklyn,2017-03-02,93,1.6578901517206424,NA
Brooklyn,2017-03-03,88,0,NA
Brooklyn,2017-03-04,68,0,NA
Brooklyn,2017-03-05,76,0,NA
Brooklyn,2017-03-06,111,0,NA
Brooklyn,2017-03-07,88,0.1180329480730408,NA
Brooklyn,2017-03-08,104,3.26769345726299,NA
Brooklyn,2017-03-09,112,0,NA
Brooklyn,2017-03-10,96,0.022516077691077753,NA
Brooklyn,2017-03-11,80,6.265804676274517,NA
Brooklyn,2017-03-12,81,0,NA
Brooklyn,2017-03-13,83,0,NA
Brooklyn,2017-03-14,50,13.934202072208745,NA
Brooklyn,2017-03-15,102,29.358383534551454,NA
Brooklyn,2017-03-16,104,0,NA
Brooklyn,2017-03-17,95,0,NA
Brooklyn,2017-03-18,84,0,NA
Brooklyn,2017-03-19,82,1.8696338296208113,NA
Brooklyn,2017-03-20,126,0,NA
Brooklyn,2017-03-21,100,0,NA
Brooklyn,2017-03-22,83,0,NA
Brooklyn,2017-03-23,96,0,NA
Brooklyn,2017-03-24,106,0,NA
Brooklyn,2017-03-25,86,0,NA
Brooklyn,2017-03-26,96,3.2323626197089075,NA
Brooklyn,2017-03-27,125,1.3390026007603304,NA
Brooklyn,2017-03-28,113,7.940253983494472,NA
Brooklyn,2017-03-29,98,13.75065094405761,NA
Brooklyn,2017-03-30,87,0,NA
Brooklyn,2017-03-31,88,11.822715303334546,NA
Brooklyn,2017-04-01,96,40.37935971987259,NA
Brooklyn,2017-04-02,92,0,NA
Brooklyn,2017-04-03,116,0,NA
Brooklyn,2017-04-04,123,32.604104813101,NA
Brooklyn,2017-04-05,112,1.129706563016924,NA
Brooklyn,2017-04-06,104,1.2793091209059766,NA
Brooklyn,2017-04-07,93,19.558418500649815,NA
Brooklyn,2017-04-08,81,0,NA
Brooklyn,2017-04-09,99,0,NA
Brooklyn,2017-04-10,118,0,NA
Brooklyn,2017-04-11,95,0,NA
Brooklyn,2017-04-12,106,0,NA
Brooklyn,2017-04-13,95,0.8511619509834215,NA
Brooklyn,2017-04-14,111,0,NA
Brooklyn,2017-04-15,88,0,NA
Brooklyn,2017-04-16,73,0,NA
Brooklyn,2017-04-17,94,0.5408517319403405,NA
Brooklyn,2017-04-18,99,0,NA
Brooklyn,2017-04-19,96,0,NA
Brooklyn,2017-04-20,87,0.9660318992149158,NA
Brooklyn,2017-04-21,94,2.7049912270299905,NA
Brooklyn,2017-04-22,71,0.6673229604780224,NA
Brooklyn,2017-04-23,97,2.2374978852156278,NA
Brooklyn,2017-04-24,116,0,NA
Brooklyn,2017-04-25,110,0.8507945095685523,NA
Brooklyn,2017-04-26,89,24.668122213237453,NA
Brooklyn,2017-04-27,79,1.9349044273491087,NA
Brooklyn,2017-04-28,85,0.3596288632121371,NA
Brooklyn,2017-04-29,97,9.076624758163423,NA
Brooklyn,2017-04-30,101,0,NA
Brooklyn,2017-05-01,164,0,NA
Brooklyn,2017-05-02,138,0.17107299585221453,NA
Brooklyn,2017-05-03,121,0,NA
Brooklyn,2017-05-04,164,0,NA
Brooklyn,2017-05-05,117,0.09450316330919678,NA
Brooklyn,2017-05-06,117,60.87909813735381,NA
Brooklyn,2017-05-07,107,1.0420302984130674,NA
Brooklyn,2017-05-08,158,0.18196901609234092,NA
Brooklyn,2017-05-09,112,0,NA
Brooklyn,2017-05-10,129,0,NA
Brooklyn,2017-05-11,151,0,NA
Brooklyn,2017-05-12,129,0,NA
Brooklyn,2017-05-13,87,4.190307249916337,NA
Brooklyn,2017-05-14,104,40.12817204883652,NA
Brooklyn,2017-05-15,159,2.4718671451181393,NA
Brooklyn,2017-05-16,118,0,NA
Brooklyn,2017-05-17,123,0,NA
Brooklyn,2017-05-18,128,0,NA
Brooklyn,2017-05-19,101,0,NA
Brooklyn,2017-05-20,95,0.21571364189261924,NA
Brooklyn,2017-05-21,111,0.17871674274958774,NA
Brooklyn,2017-05-22,133,1.273165499883766,NA
Brooklyn,2017-05-23,120,15.029887002249854,NA
Brooklyn,2017-05-24,110,1.1806012801973358,NA
Brooklyn,2017-05-25,103,3.6554570177457726,NA
Brooklyn,2017-05-26,88,17.359301181797367,NA
Brooklyn,2017-05-27,81,0.25300271218077547,NA
Brooklyn,2017-05-28,90,0,NA
Brooklyn,2017-05-29,123,6.038376218638878,NA
Brooklyn,2017-05-30,121,1.8236415768123828,NA
Brooklyn,2017-05-31,94,1.1522727906063768,NA
Brooklyn,2017-06-01,108,0.7430120515689269,NA
Brooklyn,2017-06-02,87,0,NA
Brooklyn,2017-06-03,74,0.011957227820412227,NA
Brooklyn,2017-06-04,103,0.3695299372534854,NA
Brooklyn,2017-06-05,108,14.945141844103246,NA
Brooklyn,2017-06-06,102,1.0185287281439577,NA
Brooklyn,2017-06-07,110,1.5568092542547416,NA
Brooklyn,2017-06-08,111,0,NA
Brooklyn,2017-06-09,73,0,NA
Brooklyn,2017-06-10,64,0,NA
Brooklyn,2017-06-11,91,0,NA
Brooklyn,2017-06-12,76,0,NA
Brooklyn,2017-06-13,98,0,NA
Brooklyn,2017-06-14,94,4.34439857808627,NA
Brooklyn,2017-06-15,107,2.03862460849669,NA
Brooklyn,2017-06-16,74,0,NA
Brooklyn,2017-06-17,70,0.3032274120642252,NA
Brooklyn,2017-06-18,96,19.11098869282672,NA
Brooklyn,2017-06-19,83,1.7630355181080088e-6,NA
Brooklyn,2017-06-20,74,25.131277875953913,NA
Brooklyn,2017-06-21,97,0,NA
Brooklyn,2017-06-22,72,0,NA
Brooklyn,2017-06-23,87,0,NA
Brooklyn,2017-06-24,65,33.26940730395899,NA
Brooklyn,2017-06-25,83,8.15471659935103,NA
Brooklyn,2017-06-26,80,0.006426614669050793,NA
Brooklyn,2017-06-27,102,4.706852602385062,NA
Brooklyn,2017-06-28,66,0.9209157080080863,NA
Brooklyn,2017-06-29,89,0,NA
Brooklyn,2017-06-30,57,0,NA
Brooklyn,2017-07-01,80,0.012871556488260317,NA
Brooklyn,2017-07-02,70,8.362608755095188,NA
Brooklyn,2017-07-03,76,0,NA
Brooklyn,2017-07-04,68,0.7550342523698813,NA
Brooklyn,2017-07-05,78,0.03811442575989955,NA
Brooklyn,2017-07-06,91,0,NA
Brooklyn,2017-07-07,54,2.5727039094725255,NA
Brooklyn,2017-07-08,65,45.98711596671248,NA
Brooklyn,2017-07-09,70,1.856513427851065e-4,NA
Brooklyn,2017-07-10,92,0,NA
Brooklyn,2017-07-11,74,0.011043314838261327,NA
Brooklyn,2017-07-12,86,1.6039469660774355,NA
Brooklyn,2017-07-13,75,0.01001243754047617,NA
Brooklyn,2017-07-14,55,2.500393248074816,NA
Brooklyn,2017-07-15,66,6.221086474290911,NA
Brooklyn,2017-07-16,72,0,NA
Brooklyn,2017-07-17,77,0,NA
Brooklyn,2017-07-18,77,0,NA
Brooklyn,2017-07-19,70,0,NA
Brooklyn,2017-07-20,87,0,NA
Brooklyn,2017-07-21,61,2.0406282552479236,NA
Brooklyn,2017-07-22,56,0,NA
Brooklyn,2017-07-23,62,21.03008488741043,NA
Brooklyn,2017-07-24,78,10.327502625483717,NA
Brooklyn,2017-07-25,72,15.56183827001998,NA
Brooklyn,2017-07-26,62,0,NA
Brooklyn,2017-07-27,81,0,NA
Brooklyn,2017-07-28,66,0.0014331926020576973,NA
Brooklyn,2017-07-29,82,0.8016539365396962,NA
Brooklyn,2017-07-30,70,0.17807061110564737,NA
Brooklyn,2017-07-31,70,0,NA
Brooklyn,2017-08-01,50,0,NA
Brooklyn,2017-08-02,59,0.005270775491488117,NA
Brooklyn,2017-08-03,61,2.8790732133432044,NA
Brooklyn,2017-08-04,70,8.344850503014579,NA
Brooklyn,2017-08-05,50,19.98721849264235,NA
Brooklyn,2017-08-06,57,0,NA
Brooklyn,2017-08-07,70,0.03774097401941542,NA
Brooklyn,2017-08-08,71,15.005645576551277,NA
Brooklyn,2017-08-09,60,0,NA
Brooklyn,2017-08-10,100,0.12108918563137788,NA
Brooklyn,2017-08-11,70,0,NA
Brooklyn,2017-08-12,75,6.041516309860303,NA
Brooklyn,2017-08-13,79,1.2510167932646352,NA
Brooklyn,2017-08-14,79,0,NA
Brooklyn,2017-08-15,88,6.6562538292923765,NA
Brooklyn,2017-08-16,78,5.383937554274025,NA
Brooklyn,2017-08-17,76,0,NA
Brooklyn,2017-08-18,59,0.9910061469719366,NA
Brooklyn,2017-08-19,50,16.338094299399458,NA
Brooklyn,2017-08-20,61,0,NA
Brooklyn,2017-08-21,83,0,NA
Brooklyn,2017-08-22,77,0,NA
Brooklyn,2017-08-23,73,8.200145526976787,NA
Brooklyn,2017-08-24,74,0,NA
Brooklyn,2017-08-25,81,0,NA
Brooklyn,2017-08-26,63,0,NA
Brooklyn,2017-08-27,83,0,NA
Brooklyn,2017-08-28,82,0,NA
Brooklyn,2017-08-29,98,0,NA
Brooklyn,2017-08-30,81,12.30642922736814,NA
Brooklyn,2017-08-31,57,0,NA
Brooklyn,2017-09-01,54,0.5607142124910802,NA
Brooklyn,2017-09-02,60,0,NA
Brooklyn,2017-09-03,74,22.45439907165708,NA
Brooklyn,2017-09-04,68,5.394079221136655,NA
Brooklyn,2017-09-05,105,0,NA
Brooklyn,2017-09-06,95,0.23057444093930213,NA
Brooklyn,2017-09-07,78,13.37388133898129,NA
Brooklyn,2017-09-08,74,0,NA
Brooklyn,2017-09-09,67,0,NA
Brooklyn,2017-09-10,85,0,NA
Brooklyn,2017-09-11,96,0,NA
Brooklyn,2017-09-12,61,0,NA
Brooklyn,2017-09-13,84,0,NA
Brooklyn,2017-09-14,79,1.0229232635091496,NA
Brooklyn,2017-09-15,105,0.7131862915760612,NA
Brooklyn,2017-09-16,97,0,NA
Brooklyn,2017-09-17,76,0,NA
Brooklyn,2017-09-18,132,0,NA
Brooklyn,2017-09-19,121,0,NA
Brooklyn,2017-09-20,103,5.631029756874108,NA
Brooklyn,2017-09-21,106,0,NA
Brooklyn,2017-09-22,82,0,NA
Brooklyn,2017-09-23,83,0,NA
Brooklyn,2017-09-24,100,0,NA
Brooklyn,2017-09-25,116,0,NA
Brooklyn,2017-09-26,102,0,NA
Brooklyn,2017-09-27,100,0,NA
Brooklyn,2017-09-28,73,0.15355396615233483,NA
Brooklyn,2017-09-29,82,0,NA
Brooklyn,2017-09-30,95,0,NA
Brooklyn,2017-10-01,92,0.531702499542193,NA
Brooklyn,2017-10-02,129,0,NA
Brooklyn,2017-10-03,92,0,NA
Brooklyn,2017-10-04,106,0,NA
Brooklyn,2017-10-05,111,0,NA
Brooklyn,2017-10-06,101,0.40492131212549226,NA
Brooklyn,2017-10-07,74,0,NA
Brooklyn,2017-10-08,79,0.08237226878669855,NA
Brooklyn,2017-10-09,117,4.551168127456449,NA
Brooklyn,2017-10-10,108,7.601190486537045,NA
Brooklyn,2017-10-11,90,0,NA
Brooklyn,2017-10-12,97,3.2643241672215666,NA
Brooklyn,2017-10-13,96,0.026244807190274673,NA
Brooklyn,2017-10-14,80,0.9055680763214807,NA
Brooklyn,2017-10-15,85,0.11708772913029152,NA
Brooklyn,2017-10-16,118,0.5155795985719046,NA
Brooklyn,2017-10-17,108,0,NA
Brooklyn,2017-10-18,81,0,NA
Brooklyn,2017-10-19,95,0,NA
Brooklyn,2017-10-20,88,0,NA
Brooklyn,2017-10-21,77,0,NA
Brooklyn,2017-10-22,85,0,NA
Brooklyn,2017-10-23,107,0,NA
Brooklyn,2017-10-24,126,0.03584104778917587,NA
Brooklyn,2017-10-25,98,3.997101981110594,NA
Brooklyn,2017-10-26,85,0.007224951108274578,NA
Brooklyn,2017-10-27,97,0.9111283806793985,NA
Brooklyn,2017-10-28,86,0,NA
Brooklyn,2017-10-29,94,2.264571841265854,NA
Brooklyn,2017-10-30,113,86.80298456770691,NA
Brooklyn,2017-10-31,81,1.256698457936603,NA
Brooklyn,2017-11-01,90,0,NA
Brooklyn,2017-11-02,90,0,NA
Brooklyn,2017-11-03,89,0,NA
Brooklyn,2017-11-04,79,0,NA
Brooklyn,2017-11-05,99,1.03664603582009,NA
Brooklyn,2017-11-06,126,1.9537662279675039,NA
Brooklyn,2017-11-07,102,0.004621309832703282,NA
