borough,date,asthma_er_count,ppt
Manhattan,2019-04-16,35,8.785678784874893
Manhattan,2019-04-17,47,0.2689264270179045
Manhattan,2019-04-18,40,0.023425598671739226
Manhattan,2019-04-19,30,0.030594228624901125
Manhattan,2019-04-20,34,7.875816224027041
Manhattan,2019-04-21,39,7.4356966022135955
Manhattan,2019-04-22,45,0
Manhattan,2019-04-23,52,6.572915964929161
Manhattan,2019-04-24,47,1.1614183474101687
Manhattan,2019-04-25,48,0
Manhattan,2019-04-26,39,6.183576857128176
Manhattan,2019-04-27,32,21.89577577705854
Manhattan,2019-04-28,40,0
Manhattan,2019-04-29,43,0.003952928958057769
Manhattan,2019-04-30,47,1.9080813069797302
Manhattan,2019-05-01,47,0
Manhattan,2019-05-02,38,0.3508688246710345
Manhattan,2019-05-03,41,2.7172095447385893
Manhattan,2019-05-04,39,4.91566220339094
Manhattan,2019-05-05,41,15.639140897497239
Manhattan,2019-05-06,68,22.050068091598177
Manhattan,2019-05-07,54,0
Manhattan,2019-05-08,52,3.0036339166869124
Manhattan,2019-05-09,54,0
Manhattan,2019-05-10,68,0
Manhattan,2019-05-11,42,2.3100755248450677
Manhattan,2019-05-12,59,11.543982151341307
Manhattan,2019-05-13,61,23.6378532799507
Manhattan,2019-05-14,50,16.435584864015727
Manhattan,2019-05-15,55,5.161457039359974
Manhattan,2019-05-16,52,1.9318746775631088
Manhattan,2019-05-17,39,0.34230052930895566
Manhattan,2019-05-18,57,1.5656366328133924
Manhattan,2019-05-19,44,0
Manhattan,2019-05-20,62,2.2797916835255823
Manhattan,2019-05-21,61,0.015672770971725203
Manhattan,2019-05-22,48,0
Manhattan,2019-05-23,64,7.231264199204084
Manhattan,2019-05-24,55,5.499470903208544
Manhattan,2019-05-25,45,0
Manhattan,2019-05-26,54,0.0528097996635589
Manhattan,2019-05-27,61,5.5924254271483
Manhattan,2019-05-28,48,0
Manhattan,2019-05-29,62,6.455355999283767
Manhattan,2019-05-30,45,17.278415342920756
Manhattan,2019-05-31,41,25.165444599530478
Manhattan,2019-06-01,45,0
Manhattan,2019-06-02,37,0
Manhattan,2019-06-03,50,10.391567510502092
Manhattan,2019-06-04,32,0
Manhattan,2019-06-05,46,0
Manhattan,2019-06-06,41,2.493191160918787
Manhattan,2019-06-07,35,0
Manhattan,2019-06-08,33,0
Manhattan,2019-06-09,38,0
Manhattan,2019-06-10,56,0
Manhattan,2019-06-11,47,24.715844662122915
Manhattan,2019-06-12,59,6.175166505968057e-4
Manhattan,2019-06-13,51,0.9099345978581197
Manhattan,2019-06-14,44,17.069936667106706
Manhattan,2019-06-15,42,0
Manhattan,2019-06-16,33,0.6987997708184006
Manhattan,2019-06-17,38,0.2901737841729597
Manhattan,2019-06-18,46,2.26948054212583
Manhattan,2019-06-19,36,19.214304710690097
Manhattan,2019-06-20,36,2.9908275186364297
Manhattan,2019-06-21,39,26.197039653530904
Manhattan,2019-06-22,32,10.164713952550384
Manhattan,2019-06-23,39,0
Manhattan,2019-06-24,38,0
Manhattan,2019-06-25,42,14.30093476409868
Manhattan,2019-06-26,51,4.116477832295605
Manhattan,2019-06-27,36,0
Manhattan,2019-06-28,40,0
Manhattan,2019-06-29,31,0
Manhattan,2019-06-30,30,2.8445550425735178
Manhattan,2019-07-01,51,1.7052948411799553
Manhattan,2019-07-02,35,0
Manhattan,2019-07-03,44,0.582096550218269
Manhattan,2019-07-04,29,0
Manhattan,2019-07-05,40,0
Manhattan,2019-07-06,48,0
Manhattan,2019-07-07,35,3.1435671461461894
Manhattan,2019-07-08,50,0.32757132882659395
Manhattan,2019-07-09,35,0.980660521970736
Manhattan,2019-07-10,50,0
Manhattan,2019-07-11,34,0
Manhattan,2019-07-12,35,21.84557951769267
Manhattan,2019-07-13,33,0
Manhattan,2019-07-14,35,0
Manhattan,2019-07-15,44,0
Manhattan,2019-07-16,42,0
Manhattan,2019-07-17,42,0
Manhattan,2019-07-18,40,40.51331253052444
Manhattan,2019-07-19,33,10.300058656836871
Manhattan,2019-07-20,36,0
Manhattan,2019-07-21,38,0
Manhattan,2019-07-22,33,0.12448690722827868
Manhattan,2019-07-23,38,61.413273400905325
Manhattan,2019-07-24,37,1.7153360376440783
Manhattan,2019-07-25,34,0
Manhattan,2019-07-26,31,0
Manhattan,2019-07-27,25,0
Manhattan,2019-07-28,29,1.2959490601029076
Manhattan,2019-07-29,36,0.775207434292281
Manhattan,2019-07-30,33,0
Manhattan,2019-08-07,38,1.4054476707423853
Manhattan,2019-08-08,29,26.478395935719387
Manhattan,2019-08-09,34,3.747638884491724
Manhattan,2019-08-10,30,4.40194349027825
Manhattan,2019-08-11,25,0
Manhattan,2019-08-12,34,0
Manhattan,2019-08-13,32,0.1374770109988201
Manhattan,2019-08-14,28,0.7564540653969006
Manhattan,2019-08-15,31,2.83258372538984
Manhattan,2019-08-16,30,0
Manhattan,2019-08-17,24,9.440601528550659e-5
Manhattan,2019-08-18,25,0.33099223973580255
Manhattan,2019-08-19,26,16.09313623472249
Manhattan,2019-08-20,42,0.3186877796671695
Manhattan,2019-08-21,37,0
Manhattan,2019-08-22,29,7.810421280115648
Manhattan,2019-08-23,35,29.04261770592622
Manhattan,2019-08-24,38,2.013431310541991
